pair	err_p0n0	err_p0n1	err_p1n0	err_p1n1
rx	0.0065	0.0153	0.0510	0.0338
ry	0.0018	0.0041	0.0142	0.0093
rz	0.0083	0.0194	0.0639	0.0426
r;	0.0025	0.0060	0.0203	0.0133
r,	0.0039	0.0093	0.0313	0.0206
r.	0.0039	0.0093	0.0313	0.0206
r/	0.0039	0.0093	0.0313	0.0206
sa	0.0089	0.0208	0.0684	0.0456
sb	0.0065	0.0153	0.0510	0.0338
sc	0.0089	0.0208	0.0685	0.0457
sd	0.0057	0.0134	0.0450	0.0297
se	0.0040	0.0094	0.0317	0.0209
sf	0.0042	0.0099	0.0333	0.0219
sg	0.0042	0.0099	0.0333	0.0219
sh	0.0025	0.0060	0.0203	0.0133
si	0.0018	0.0041	0.0142	0.0093
sj	0.0025	0.0060	0.0203	0.0133
sk	0.0025	0.0060	0.0203	0.0133
sl	0.0025	0.0060	0.0203	0.0133
sm	0.0039	0.0093	0.0313	0.0206
sn	0.0039	0.0093	0.0313	0.0206
so	0.0018	0.0041	0.0142	0.0093
sp	0.0018	0.0041	0.0142	0.0093
sq	0.0062	0.0146	0.0486	0.0322
sr	0.0029	0.0069	0.0234	0.0154
ss	0.0004	0.0010	0.0035	0.0023
st	0.0029	0.0069	0.0234	0.0154
su	0.0018	0.0041	0.0142	0.0093
sv	0.0065	0.0153	0.0510	0.0338
sw	0.0040	0.0094	0.0319	0.0210
sx	0.0089	0.0209	0.0688	0.0459
sy	0.0018	0.0041	0.0142	0.0093
sz	0.0138	0.0321	0.1029	0.0695
s;	0.0025	0.0060	0.0203	0.0133
s,	0.0039	0.0093	0.0313	0.0206
s.	0.0039	0.0093	0.0313	0.0206
s/	0.0039	0.0093	0.0313	0.0206
ta	0.0053	0.0125	0.0419	0.0277
tb	0.0089	0.0209	0.0688	0.0459
tc	0.0065	0.0153	0.0510	0.0338
td	0.0042	0.0099	0.0333	0.0219
te	0.0029	0.0069	0.0234	0.0154
tf	0.0064	0.0150	0.0500	0.0331
tg	0.0057	0.0135	0.0452	0.0299
th	0.0025	0.0060	0.0203	0.0133
ti	0.0018	0.0041	0.0142	0.0093
tj	0.0025	0.0060	0.0203	0.0133
tk	0.0025	0.0060	0.0203	0.0133
tl	0.0025	0.0060	0.0203	0.0133
tm	0.0039	0.0093	0.0313	0.0206
tn	0.0039	0.0093	0.0313	0.0206
to	0.0018	0.0041	0.0142	0.0093
tp	0.0018	0.0041	0.0142	0.0093
tq	0.0037	0.0087	0.0295	0.0194
tr	0.0045	0.0105	0.0353	0.0233
ts	0.0042	0.0099	0.0333	0.0219
tt	0.0003	0.0007	0.0024	0.0016
tu	0.0018	0.0041	0.0142	0.0093
tv	0.0099	0.0232	0.0759	0.0508
tw	0.0029	0.0069	0.0234	0.0154
tx	0.0065	0.0153	0.0510	0.0338
ty	0.0018	0.0041	0.0142	0.0093
tz	0.0083	0.0194	0.0639	0.0426
t;	0.0025	0.0060	0.0203	0.0133
t,	0.0039	0.0093	0.0313	0.0206
t.	0.0039	0.0093	0.0313	0.0206
t/	0.0039	0.0093	0.0313	0.0206
ua	0.0032	0.0075	0.0256	0.0168
ub	0.0039	0.0093	0.0313	0.0206
uc	0.0039	0.0093	0.0313	0.0206
ud	0.0025	0.0060	0.0203	0.0133
ue	0.0018	0.0041	0.0142	0.0093
uf	0.0025	0.0060	0.0203	0.0133
ug	0.0025	0.0060	0.0203	0.0133
uh	0.0064	0.0150	0.0500	0.0331
ui	0.0029	0.0069	0.0234	0.0154
uj	0.0057	0.0135	0.0452	0.0299
uk	0.0042	0.0099	0.0333	0.0219
